bank,term,deposit_type,rate_text
Nam Á Bank,Không kỳ hạn,Online,-
Nam Á Bank,1 tháng,Online,"4,60"
Nam Á Bank,3 tháng,Online,"4,75"
Nam Á Bank,6 tháng,Online,"6,10"
Nam Á Bank,9 tháng,Online,"6,20"
Nam Á Bank,12 tháng,Online,"6,30"
Nam Á Bank,13 tháng,Online,"6,30"
Nam Á Bank,18 tháng,Online,"6,30"
Nam Á Bank,24 tháng,Online,"6,30"
Nam Á Bank,36 tháng,Online,"6,30"
OCB,Không kỳ hạn,Online,"0,00"
OCB,1 tháng,Online,"4,75"
OCB,3 tháng,Online,"4,75"
OCB,6 tháng,Online,"6,50"
OCB,9 tháng,Online,"6,50"
OCB,12 tháng,Online,"6,80"
OCB,13 tháng,Online,"6,50"
OCB,18 tháng,Online,"6,70"
OCB,24 tháng,Online,"6,90"
OCB,36 tháng,Online,"7,10"
oceanbank,Không kỳ hạn,Online,"0,50"
oceanbank,1 tháng,Online,"4,10"
oceanbank,3 tháng,Online,"4,40"
oceanbank,6 tháng,Online,"5,40"
oceanbank,9 tháng,Online,"5,50"
oceanbank,12 tháng,Online,"5,80"
oceanbank,13 tháng,Online,"5,80"
oceanbank,18 tháng,Online,"6,10"
oceanbank,24 tháng,Online,"6,10"
oceanbank,36 tháng,Online,"6,10"
SCB,Không kỳ hạn,Online,-
SCB,1 tháng,Online,"1,60"
SCB,3 tháng,Online,"1,90"
SCB,6 tháng,Online,"2,90"
SCB,9 tháng,Online,"2,90"
SCB,12 tháng,Online,"3,70"
SCB,13 tháng,Online,"3,90"
SCB,18 tháng,Online,"3,90"
SCB,24 tháng,Online,"3,90"
SCB,36 tháng,Online,"3,90"
SHB,Không kỳ hạn,Online,-
SHB,1 tháng,Online,"2,80"
SHB,3 tháng,Online,"3,00"
SHB,6 tháng,Online,"4,20"
SHB,9 tháng,Online,"4,40"
SHB,12 tháng,Online,"4,90"
SHB,13 tháng,Online,"5,00"
SHB,18 tháng,Online,"5,20"
SHB,24 tháng,Online,"5,50"
SHB,36 tháng,Online,"5,80"
TPBank,Không kỳ hạn,Online,-
TPBank,1 tháng,Online,"4,75"
TPBank,3 tháng,Online,"4,75"
TPBank,6 tháng,Online,"6,00"
TPBank,9 tháng,Online,-
TPBank,12 tháng,Online,"6,20"
TPBank,13 tháng,Online,-
TPBank,18 tháng,Online,"6,20"
TPBank,24 tháng,Online,"6,30"
TPBank,36 tháng,Online,"6,30"
VCBNeo,Không kỳ hạn,Online,-
VCBNeo,1 tháng,Online,"4,45"
VCBNeo,3 tháng,Online,"4,45"
VCBNeo,6 tháng,Online,"6,50"
VCBNeo,9 tháng,Online,"6,50"
VCBNeo,12 tháng,Online,"6,50"
VCBNeo,13 tháng,Online,"6,50"
VCBNeo,18 tháng,Online,"6,50"
VCBNeo,24 tháng,Online,"6,50"
VCBNeo,36 tháng,Online,"6,50"
VIB,Không kỳ hạn,Online,-
VIB,1 tháng,Online,"4,45"
VIB,3 tháng,Online,"4,55"
VIB,6 tháng,Online,"5,70"
VIB,9 tháng,Online,"5,80"
VIB,12 tháng,Online,"7,00"
VIB,13 tháng,Online,-
VIB,18 tháng,Online,"5,90"
VIB,24 tháng,Online,"6,00"
VIB,36 tháng,Online,"6,00"
VietCapitalBank,Không kỳ hạn,Online,-
VietCapitalBank,1 tháng,Online,"4,75"
VietCapitalBank,3 tháng,Online,"4,75"
VietCapitalBank,6 tháng,Online,"6,70"
VietCapitalBank,9 tháng,Online,"6,70"
VietCapitalBank,12 tháng,Online,"6,90"
VietCapitalBank,13 tháng,Online,-
VietCapitalBank,18 tháng,Online,"6,70"
VietCapitalBank,24 tháng,Online,"6,70"
VietCapitalBank,36 tháng,Online,-
